video link,end time
https://www.youtube.com/watch?v=Jsj8Lyi1Pi4,0:05
https://www.youtube.com/watch?v=Jsj8Lyi1Pi5,0:23
https://www.youtube.com/watch?v=Jsj8Lyi1Pi6,0:40
https://www.youtube.com/watch?v=Jsj8Lyi1Pi7,0:53
https://www.youtube.com/watch?v=Jsj8Lyi1Pi8,1:13
https://www.youtube.com/watch?v=Jsj8Lyi1Pi9,1:28
https://www.youtube.com/watch?v=Jsj8Lyi1Pi10,1:42
https://www.youtube.com/watch?v=Jsj8Lyi1Pi11,1:59
https://www.youtube.com/watch?v=Jsj8Lyi1Pi12,2:16
https://www.youtube.com/watch?v=Jsj8Lyi1Pi13,2:34
https://www.youtube.com/watch?v=Jsj8Lyi1Pi14,2:48
https://www.youtube.com/watch?v=Jsj8Lyi1Pi15,3:00
https://www.youtube.com/watch?v=Jsj8Lyi1Pi16,3:12
https://www.youtube.com/watch?v=Jsj8Lyi1Pi17,3:25
https://www.youtube.com/watch?v=Jsj8Lyi1Pi18,3:38
https://www.youtube.com/watch?v=Jsj8Lyi1Pi19,3:50
https://www.youtube.com/watch?v=Jsj8Lyi1Pi20,4:06
https://www.youtube.com/watch?v=Jsj8Lyi1Pi21,4:25
https://www.youtube.com/watch?v=Jsj8Lyi1Pi22,4:38
https://www.youtube.com/watch?v=Jsj8Lyi1Pi23,4:49
https://www.youtube.com/watch?v=Jsj8Lyi1Pi24,5:04
https://www.youtube.com/watch?v=Jsj8Lyi1Pi25,5:28
https://www.youtube.com/watch?v=Jsj8Lyi1Pi26,5:43
https://www.youtube.com/watch?v=Jsj8Lyi1Pi27,6:02
https://www.youtube.com/watch?v=Jsj8Lyi1Pi28,6:22
https://www.youtube.com/watch?v=Jsj8Lyi1Pi29,6:35
https://www.youtube.com/watch?v=Jsj8Lyi1Pi30,6:50
https://www.youtube.com/watch?v=Jsj8Lyi1Pi31,7:07
https://www.youtube.com/watch?v=Jsj8Lyi1Pi32,7:25
https://www.youtube.com/watch?v=Jsj8Lyi1Pi33,7:41
https://www.youtube.com/watch?v=Jsj8Lyi1Pi34,7:51
https://www.youtube.com/watch?v=Jsj8Lyi1Pi35,8:09
https://www.youtube.com/watch?v=Jsj8Lyi1Pi36,8:28
https://www.youtube.com/watch?v=Jsj8Lyi1Pi37,8:45
https://www.youtube.com/watch?v=Jsj8Lyi1Pi38,9:00
https://www.youtube.com/watch?v=Jsj8Lyi1Pi39,9:17
https://www.youtube.com/watch?v=Jsj8Lyi1Pi40,9:37
https://www.youtube.com/watch?v=Jsj8Lyi1Pi41,9:58
https://www.youtube.com/watch?v=Jsj8Lyi1Pi42,10:12
https://www.youtube.com/watch?v=Jsj8Lyi1Pi43,10:29
https://www.youtube.com/watch?v=Jsj8Lyi1Pi44,10:44
https://www.youtube.com/watch?v=Jsj8Lyi1Pi45,11:00
https://www.youtube.com/watch?v=Jsj8Lyi1Pi46,11:15
https://www.youtube.com/watch?v=Jsj8Lyi1Pi47,11:29
https://www.youtube.com/watch?v=Jsj8Lyi1Pi48,11:43
https://www.youtube.com/watch?v=Jsj8Lyi1Pi49,12:02
https://www.youtube.com/watch?v=Jsj8Lyi1Pi50,12:23
https://www.youtube.com/watch?v=Jsj8Lyi1Pi51,12:38
https://www.youtube.com/watch?v=Jsj8Lyi1Pi52,12:56
https://www.youtube.com/watch?v=Jsj8Lyi1Pi53,13:09
https://www.youtube.com/watch?v=Jsj8Lyi1Pi54,13:24
https://www.youtube.com/watch?v=Jsj8Lyi1Pi55,13:54
https://www.youtube.com/watch?v=Jsj8Lyi1Pi56,14:08
https://www.youtube.com/watch?v=Jsj8Lyi1Pi57,14:36
https://www.youtube.com/watch?v=Jsj8Lyi1Pi58,14:51
https://www.youtube.com/watch?v=Jsj8Lyi1Pi59,15:05
https://www.youtube.com/watch?v=Jsj8Lyi1Pi60,15:21
https://www.youtube.com/watch?v=Jsj8Lyi1Pi61,15:41
https://www.youtube.com/watch?v=Jsj8Lyi1Pi62,15:58
https://www.youtube.com/watch?v=Jsj8Lyi1Pi63,16:15
https://www.youtube.com/watch?v=Jsj8Lyi1Pi64,16:27
https://www.youtube.com/watch?v=Jsj8Lyi1Pi65,16:40
https://www.youtube.com/watch?v=Jsj8Lyi1Pi66,16:56
https://www.youtube.com/watch?v=Jsj8Lyi1Pi67,17:21
https://www.youtube.com/watch?v=Jsj8Lyi1Pi68,17:40
https://www.youtube.com/watch?v=Jsj8Lyi1Pi69,17:58
https://www.youtube.com/watch?v=Jsj8Lyi1Pi70,18:16
https://www.youtube.com/watch?v=Jsj8Lyi1Pi71,18:32
https://www.youtube.com/watch?v=Jsj8Lyi1Pi72,18:47
https://www.youtube.com/watch?v=Jsj8Lyi1Pi73,19:01
https://www.youtube.com/watch?v=Jsj8Lyi1Pi74,19:14
https://www.youtube.com/watch?v=Jsj8Lyi1Pi75,19:31
